stem,folders
_D5C4198,2021.3;2025.3
_D5C4217,2021.3;2025.2
_D5C4259,2018.4;2025.1
_D5C4267,2018.4;2025.3
_D5C4307,2021.3;2025.2
_D5C4331,2019.2;2019.3
_D5C4332,2025.2;2025.3
_D5C4341,2019.2;2019.3
_D5C4350,2019.2;2019.3
_D5C4353,2019.2;2019.3
_D5C4365,2019.2;2021.3
_D5C4370,2019.2;2019.3
_D5C4378,2021.3;2025.1
_D5C4386,2019.2;2019.3;2021.3
_D5C4404,2019.2;2019.3
_D5C4406,2019.2;2019.3;2025.2
_D5C4414,2019.2;2019.3
_D5C4423,2018.4;2019.2;2019.3
_D5C4438,2019.2;2019.3
_D5C4439,2019.2;2019.3;2025.3
_D5C4448,2019.2;2019.3
_D5C4464,2019.2;2025.2
_D5C4465,2019.2;2019.3;2025.1;2025.3
_D5C4469,2018.4;2019.2;2025.3
_D5C4474,2019.2;2019.3
_D5C4484,2019.2;2019.3;2025.3
_D5C4487,2019.2;2019.3;2025.3
_D5C4500,2019.2;2019.3
_D5C4503,2019.2;2025.2
_D5C4504,2019.2;2021.3
_D5C4510,2019.2;2019.3
_D5C4514,2019.2;2019.3
_D5C4530,2019.2;2019.3
_D5C4531,2019.2;2019.3
_D5C4542,2019.2;2019.3
_D5C4559,2019.2;2019.3
_D5C4563,2019.2;2025.3
_D5C4578,2019.2;2019.3
_D5C4581,2019.2;2019.3
_D5C4590,2019.2;2019.3
_D5C4604,2019.2;2019.3
_D5C4621,2019.2;2025.2
_D5C4644,2019.2;2019.3
_D5C4646,2019.2;2019.3
_D5C4659,2019.2;2019.3
_D5C4660,2019.2;2019.3
_D5C4680,2019.2;2025.1
_D5C4684,2019.2;2019.3
_D5C4694,2019.2;2021.3
_D5C4709,2019.2;2019.3
_D5C4725,2019.2;2019.3
_D5C4732,2019.2;2019.3;2025.2
_D5C4753,2021.3;2025.3
_D5C4754,2021.3;2021.4
_D5C4768,2019.2;2019.3;2021.3;2025.3
_D5C4778,2019.2;2019.3;2021.3;2025.3
_D5C4781,2021.4;2025.1
_D5C4804,2019.2;2019.3
_D5C4834,2019.2;2019.3;2025.2
_D5C4888,2021.4;2025.3
_D5C4893,2018.4;2025.3
_D5C4916,2021.4;2025.2
_D5C5052,2025.2;2025.3
_D5C5054,2018.4;2025.2
_D5C5075,2018.4;2025.2
_D5C5121,2021.4;2025.3
_D5C5127,2021.4;2025.3
_D5C5171,2021.4;2025.2
_D5C5238,2021.4;2025.1
_D5C5289,2019.15;2021.4
_D5C5348,2019.2;2019.3
_D5C5371,2019.2;2019.3
_D5C5403,2019.2;2019.3
_D5C5414,2019.2;2019.3
_D5C5422,2019.2;2019.3;2021.5
_D5C5429,2019.2;2019.3;2025.2
_D5C5438,2019.2;2019.3
_D5C5450,2019.2;2019.3
_D5C5452,2019.2;2019.3
_D5C5455,2019.2;2019.3
_D5C5459,2019.2;2019.3
_D5C5468,2019.2;2019.3
_D5C5475,2019.2;2019.3
_D5C5488,2019.2;2019.3
_D5C5493,2019.2;2019.3;2021.5
_D5C5495,2019.2;2019.3;2025.1
_D5C5500,2019.2;2019.3
_D5C5503,2019.2;2019.3
_D5C5589,2025.2;2025.3
_D5C5622,2019.2;2019.3
_D5C5641,2019.2;2019.3;2021.5
_D5C5644,2019.2;2019.3
_D5C5650,2019.2;2019.3;2025.2
_D5C5654,2019.2;2019.3
_D5C5667,2020;2021.5
_D5C5678,2021.5;2025.2
_D5C5690,2019.2;2019.3
_D5C5696,2018.4;2021.5
_D5C5705,2019.2;2019.3
_D5C5713,2019.2;2019.3
_D5C5724,2019.2;2019.3;2025.3
_D5C5742,2019.2;2019.3;2021.5
_D5C5750,2019.2;2019.3
_D5C5762,2020;2021.5
_D5C5764,2025.2;2025.3
_D5C5775,2018.4;2025.1
_D5C5782,2019.2;2019.3
_D5C5783,2019.2;2019.3
_D5C5797,2018.4;2020;2021.5
_D5C5798,2025.1;2025.2
_D5C5807,2020;2021.5
_D5C5839,2021.5;2025.2
_D5C5850,2019.2;2019.3;2021.5
_D5C5856,2019.2;2019.3
_D5C5864,2021.5;2025.1
_D5C5866,2021.5;2025.2
_D5C5898,2019.2;2019.3
_D5C5899,2025.2;2025.3
_D5C5905,2021.5;2025.2
_D5C5912,2021.5;2025.2;2025.3
_D5C5957,2019.2;2019.4
_D5C5982,2021.5;2025.1
_D5C6004,2019.2;2019.4
_D5C6009,2021.5;2025.1
_D5C6012,2019.2;2019.4;2025.2
_D5C6032,2018.4;2021.5
_D5C6033,2019.2;2019.4;2025.3
_D5C6035,2025.1;2025.2
_D5C6036,2021.5;2025.2
_D5C6060,2021.5;2025.3
_D5C6066,2021.5;2025.2;2025.3
_D5C6091,2021.5;2025.2
_D5C6108,2025.1;2025.3
_D5C6120,2018.4;2025.3
_D5C6125,2019.2;2019.4;2025.3
_D5C6134,2025.1;2025.2
_D5C6142,2021.5;2025.2;2025.3
_D5C6158,2025.2;2025.3
_D5C6187,2025.1;2025.2;2025.3
_D5C6193,2019.2;2019.4
_D5C6198,2019.2;2019.4;2025.1
_D5C6200,2025.1;2025.2
_D5C6201,2025.2;2025.3
_D5C6202,2018.4;2025.3
_D5C6217,2019.2;2019.4
_D5C6220,2019.2;2019.4
_D5C6257,2019.2;2019.4
_D5C6276,2021.5;2025.2
_D5C6287,2019.2;2019.4
_D5C6289,2019.2;2019.4
_D5C6367,2020;2021.5
_D5C6368,2020;2021.5
_D5C6369,2019.2;2019.4
_D5C6457,2019.2;2019.4
_D5C6500,2018.4;2025.1
_D5C6505,2020;2025.2
_D5C6514,2019.2;2019.4;2020;2025.2
_D5C6570,2018.4;2025.2
_D5C6608,2019.2;2019.4
_D5C6657,2019.2;2019.4
_D5C6664,2019.2;2019.4
_D5C6678,2019.2;2019.4;2025.1
_D5C6682,2018.4;2019.2;2019.4
_D5C6707,2019.2;2019.4
_D5C6709,2019.2;2019.4
_D5C6718,2025.1;2025.2
_D5C6735,2019.2;2019.4;2025.2
_D5C6743,2019.2;2019.4
_D5C6764,2025.1;2025.2
_D5C6768,2019.2;2019.4
_D5C6772,2019.2;2019.4
_D5C6783,2019.2;2019.4
_D5C6790,2019.2;2019.4
_D5C6794,2019.2;2019.4;2025.1
_D5C6800,2019.2;2019.4;2025.2
_D5C6803,2019.2;2019.4
_D5C6814,2019.2;2019.4
_D5C6821,2019.2;2019.4
_D5C6843,2019.2;2019.4
_D5C6855,2019.2;2019.4;2025.1
_D5C6865,2019.2;2019.4
_D5C6870,2019.2;2019.4
_D5C6874,2019.2;2019.4
_D5C6880,2025.1;2025.2
_D5C6905,2019.2;2019.4
_D5C6910,2019.2;2019.4
_D5C6912,2018.5;2025.1
_D5C6932,2019.2;2019.4
_D5C6934,2019.2;2019.4
_D5C6947,2019.2;2019.4;2021.5
_D5C6951,2018.5;2021.5
_D5C6973,2021.5;2025.1
_D5C6991,2019.2;2019.4
_D5C6992,2019.2;2019.4
_D5C7014,2021.5;2025.1
_D5C7024,2021.5;2025.1
_D5C7040,2018.5;2019.2;2019.4
_D5C7046,2019.2;2019.4
_D5C7047,2019.2;2019.4
_D5C7058,2018.5;2025.1
_D5C7065,2021.5;2025.2
_D5C7073,2019.2;2019.4
_D5C7075,2021.5;2025.2
_D5C7088,2019.2;2019.4;2025.2
_D5C7104,2019.2;2019.4
_D5C7113,2019.2;2019.4
_D5C7118,2025.1;2025.2
_D5C7120,2018.5;2025.2
_D5C7130,2018.5;2025.1
_D5C7134,2021.5;2025.1
_D5C7142,2018.5;2021.5;2025.1
_D5C7143,2019.2;2019.4
_D5C7144,2025.1;2025.2
_D5C7156,2018.5;2025.1
_D5C7179,2018.5;2019.2;2019.4;2021.5
_D5C7183,2019.2;2019.4;2025.2
_D5C7185,2018.5;2019.2;2019.4
_D5C7186,2021.5;2025.1
_D5C7205,2018.5;2019.2;2019.4
_D5C7212,2019.2;2019.4
_D5C7281,2018.5;2019.4;2025.2
_D5C7292,2021.5;2025.1;2025.2
_D5C7329,2019.4;2025.1
_D5C7337,2018.5;2025.2
_D5C7365,2018.5;2025.2
_D5C7377,2020;2021.5
_D5C7399,2020;2025.1;2025.2
_D5C7403,2025.1;2025.2
_D5C7420,2021.5;2025.2
_D5C7455,2025.1;2025.2
_D5C7470,2019.4;2021.5
_D5C7472,2025.1;2025.2
_D5C7481,2019.4;2021.5;2025.1
_D5C7485,2018.5;2025.2
_D5C7494,2019.5;2025.1
_D5C7498,2018.5;2025.1
_D5C7501,2018.5;2019.5
_D5C7505,2020;2021.5
_D5C7515,2021.5;2025.1
_D5C7520,2021.5;2025.1
_D5C7530,2018.5;2021.5
_D5C7537,2018.5;2025.1;2025.2
_D5C7547,2018.5;2020
_D5C7567,2018.5;2019.5
_D5C7593,2018.5;2019.5
_D5C7839,2018.7;2019.5
_D5C7872,2020;2021.5
_D5C7873,2018.7;2021.5
_D5C7879,2018.7;2021.5
_D5C7882,2018.7;2021.5
_D5C7884,2018.7;2021.5
_D5C7914,2018.7;2020
_D5C7920,2018.7;2019.5
_D5C7922,2018.7;2019.5
_D5C7956,2018.7;2025.1
_D5C7958,2018.7;2025.1
_D5C8003,2021.5;2025.1
_D5C8018,2018.7;2021.5
_D5C8036,2018.7;2025.1
_D5C8071,2018.7;2021.5
_D5C8072,2018.7;2021.5
_D5C8080,2018.7;2021.5
_D5C8088,2018.7;2025.1
_D5C8089,2018.7;2021.5;2025.1
_D5C8095,2018.7;2021.5
_D5C8099,2020;2021.5
_D5C8100,2020;2021.5
_D5C8101,2018.7;2020
_D5C8107,2018.7;2021.5
_D5C8176,2018.7;2025.2
_D5C8202,2018.7;2025.1
_D5C8206,2018.7;2021.5;2025.2
_D5C8311,2018.7;2025.4
_D5C8320,2025.1;2025.4
_D5C8352,2021.5;2025.1
_D5C8365,2018.7;2025.4
_D5C8374,2018.7;2021.5
_D5C8414,2018.7;2021.5
_D5C8418,2025.2;2025.3
_D5C8422,2025.2;2025.3
_D5C8437,2025.2;2025.3
_D5C8457,2025.2;2025.3
_D5C8459,2025.2;2025.3
_D5C8467,2018.7;2021.5;2025.2;2025.3
_D5C8496,2025.2;2025.3;2025.4
_D5C8525,2018.7;2025.4
_D5C8538,2025.2;2025.3
_D5C8545,2021.5;2025.2;2025.3
_D5C8549,2018.7;2025.1
_D5C8582,2018.7;2025.4
_D5C8584,2018.7;2025.1
_D5C8596,2018.7;2021.5
_D5C8607,2025.2;2025.3
_D5C8608,2025.2;2025.3
_D5C8608-2,2025.2;2025.3
_D5C8655,2021.5;2025.2;2025.3
_D5C8676,2018.7;2025.1
_D5C8687,2025.2;2025.3
_D5C8689,2025.2;2025.3
_D5C8692,2025.2;2025.3
_D5C8699,2018.7;2021.5
_D5C8712,2025.2;2025.3
_D5C8714,2025.2;2025.3
_D5C8716,2018.7;2025.2;2025.3
_D5C8721,2025.2;2025.3
_D5C8733,2018.7;2025.1
_D5C8752,2018.7;2025.4
_D5C8757,2021.5;2025.4
_D5C8761,2025.1;2025.2;2025.3
_D5C8765,2018.7;2021.5
_D5C8767,2025.2;2025.3
_D5C8769,2025.1;2025.2;2025.3
_D5C8770,2021.5;2025.1
_D5C8785,2021.5;2025.4
_D5C8790,2020;2021.5
_D5C8791,2025.2;2025.3
_D5C8804,2018.7;2025.1;2025.4
_D5C8833,2021.5;2025.1;2025.2;2025.3
_D5C8839,2025.2;2025.3
_D5C8841,2021.5;2025.2;2025.3
_D5C8842,2025.2;2025.3;2025.4
_D5C8845,2020;2021.5
_D5C8856,2025.2;2025.3
_D5C8859,2020;2021.5;2025.1
_D5C8860,2018.7;2021.5
_D5C8865,2025.2;2025.3
_D5C8868,2021.5;2025.1
_D5C8870,2018.7;2021.5
_D5C8872,2021.5;2025.4
_D5C8873,2018.7;2021.5;2025.2;2025.3
_D5C8875,2025.2;2025.3
_D5C8882,2018.7;2021.5
_D5C8886,2021.5;2025.1
_D5C8887,2021.5;2025.1
_D5C8889,2021.5;2025.1
_D5C8895,2025.1;2025.4
_D5C8902,2021.5;2025.1;2025.2;2025.3
_D5C8906,2025.2;2025.3
_D5C8921,2025.2;2025.3
_D5C8933,2025.1;2025.2;2025.3
_D5C8934,2020;2025.1
_D5C8939,2025.2;2025.3
_D5C8942,2018.7;2020;2025.1
_D5C8958,2025.2;2025.3
_D5C8969,2025.2;2025.3
_D5C8971,2025.2;2025.3
_D5C8986,2025.2;2025.3
_D5C8987,2025.2;2025.3
_D5C8993,2025.2;2025.3
_D5C8996,2025.2;2025.3
_D5C9007,2025.2;2025.3
_D5C9014,2018.7;2025.2;2025.3;2025.4
_D5C9040,2025.2;2025.3;2025.4
_D5C9047,2025.2;2025.3
_D5C9048,2025.2;2025.3
_D5C9050,2025.2;2025.3
_D5C9065,2025.2;2025.3;2025.4
_D5C9085,2025.2;2025.3
_D5C9109,2025.2;2025.3
_D5C9123,2025.2;2025.3
_D5C9129,2025.2;2025.3
_D5C9138,2025.2;2025.3
_D5C9141,2025.2;2025.3
_D5C9142,2021.6;2025.2;2025.3
_D5C9143,2025.2;2025.3
_D5C9146,2018.7;2025.2;2025.3
_D5C9156,2025.1;2025.2;2025.3
_D5C9174,2025.2;2025.3
_D5C9176,2025.2;2025.3
_D5C9192,2025.2;2025.3
_D5C9197,2025.2;2025.3
_D5C9223,2025.2;2025.3
_D5C9226,2025.2;2025.3
_D5C9254,2021.6;2025.4
_D5C9258,2025.2;2025.3
_D5C9279,2020;2025.4
_D5C9280,2021.6;2025.4
_D5C9288,2018.7;2021.6
_D5C9299,2025.2;2025.3
_D5C9300,2025.2;2025.3
_D5C9309,2020;2021.6;2025.4
_D5C9310,2025.2;2025.3;2025.4
_D5C9314,2025.2;2025.3
_D5C9329,2020;2025.1
_D5C9343,2025.2;2025.3;2025.4
_D5C9347,2021.6;2025.4
_D5C9382,2025.1;2025.4
_D5C9388,2025.2;2025.3
_D5C9390,2025.2;2025.3
_D5C9411,2025.2;2025.3
_D5C9417,2025.2;2025.3
_D5C9429,2020;2025.1
_D5C9439,2025.2;2025.3
_D5C9443,2025.2;2025.3;2025.4
_D5C9462,2025.2;2025.3
_D5C9464,2025.2;2025.3
_D5C9467,2025.2;2025.3
_D5C9470,2025.2;2025.3
_D5C9505,2025.1;2025.4
_D5C9508,2025.2;2025.3
_D5C9509,2025.2;2025.3
_D5C9511,2025.1;2025.2;2025.3
_D5C9512,2025.2;2025.3
_D5C9516,2025.2;2025.3
_D5C9518,2025.1;2025.2;2025.3
_D5C9519,2025.2;2025.3
_D5C9520,2025.1;2025.2;2025.3
_D5C9521,2025.2;2025.3
_D5C9522,2025.2;2025.3
_D5C9527,2025.2;2025.3
_D5C9531,2025.2;2025.3
_D5C9533,2025.2;2025.3
_D5C9542,2025.2;2025.3
_D5C9592,2025.2;2025.3
_D5C9601,2025.2;2025.3
_D5C9602,2025.2;2025.3
_D5C9605,2025.2;2025.3
_D5C9614,2025.2;2025.3
_D5C9615,2025.2;2025.3
_D5C9622,2021.6;2025.1
_D5C9700,2025.2;2025.3
_D5C9720,2021.1;2025.1;2025.4
_D5C9726,2025.2;2025.3
_D5C9734,2021.6;2025.4
_D5C9743,2021.1;2025.2;2025.3
_D5C9745,2021.1;2025.4
_D5C9804,2025.2;2025.3
_D5C9825,2025.2;2025.3
_D5C9837,2025.2;2025.3
_D5C9842,2025.2;2025.3
_D5C9847,2025.2;2025.3
_D5C9860,2021.1;2025.4
_D5C9862,2021.1;2025.4
_D5C9871,2025.2;2025.3
_D5C9874,2025.1;2025.2;2025.3
_D5C9876,2025.2;2025.3
_D5C9877,2025.2;2025.3
_D5C9879,2025.2;2025.3
_D5C9884,2025.2;2025.3
_D5C9908,2025.2;2025.3
_D5C9915,2021.1;2025.2;2025.3
_D5C9937,2025.2;2025.3
_D5C9943,2021.1;2025.2;2025.3
_D5C9945,2025.2;2025.3
_D5C9948,2025.2;2025.3
_D5C9951,2025.2;2025.3
_D5C9969,2025.2;2025.3
_D5C9970,2025.2;2025.3
_D5C9978,2025.1;2025.2;2025.3
_D5C9980,2025.2;2025.3
_D5C9983,2025.2;2025.3
_D5C9989,2025.2;2025.3
_D5D0003,2021.4;2024.4
_D5D0009,2018.3;2021.4;2022
_D5D0033,2024.1;2024.2
_D5D0034,2018.3;2022;2024.1
_D5D0043,2021.3;2024.2
_D5D0070,2018.1;2018.3;2021.2;2022;2024.4
_D5D0071,2021.3;2024.3
_D5D0075,2021.2;2024.1
_D5D0080,2018.1;2024.4
_D5D0093,2018.1;2024.2
_D5D0099,2018.1;2024.2
_D5D0104,2024.3;2024.4
_D5D0109,2018.1;2024.5
_D5D0110,2018.1;2024.2;2024.3
_D5D0114,2018.4;2024.2
_D5D0117,2022;2024.3
_D5D0123,2018.1;2018.3;2024.4;2024.5
_D5D0131,2021.5;2024.1
_D5D0132,2022;2024.1
_D5D0143,2022;2024.3;2024.4
_D5D0147,2018.1;2021.5;2022
_D5D0152,2018.3;2024.2
_D5D0156,2018.3;2021.1;2024.5
_D5D0161,2021.3;2024.4
_D5D0163,2021.5;2024.3
_D5D0166,2021.2;2022
_D5D0168,2021.4;2024.2
_D5D0169,2021.3;2024.2;2024.3
_D5D0179,2021.1;2024.5
_D5D0182,2021.5;2022
_D5D0192,2022;2024.5
_D5D0198,2021.5;2024.1
_D5D0202,2018.1;2022
_D5D0213,2018.1;2024.3
_D5D0219,2021.4;2024.3;2024.5
_D5D0233,2018.1;2022
_D5D0242,2022;2024.5
_D5D0243,2024.1;2024.5
_D5D0250,2018.1;2021.5
_D5D0254,2018.1;2022;2024.5
_D5D0257,2024.1;2024.3
_D5D0270,2018.1;2024.5
_D5D0280,2018.1;2024.3
_D5D0284,2018.1;2024.1
_D5D0293,2018.1;2018.3
_D5D0304,2021.1;2024.3
_D5D0318,2021.1;2024.5
_D5D0356,2018.1;2024.5
_D5D0358,2021.3;2024.4
_D5D0361,2018.1;2024.5
_D5D0400,2021.4;2024.5
_D5D0407,2021.1;2021.6
_D5D0421,2021.3;2024.3;2024.5
_D5D0425,2021.1;2024.2
_D5D0427,2018.1;2021.5
_D5D0437,2021.6;2024.5
_D5D0441,2021.3;2021.5
_D5D0443,2018.1;2021.1
_D5D0455,2018.1;2024.5
_D5D0467,2024.2;2024.4
_D5D0471,2021.4;2021.5
_D5D0473,2021.1;2024.4
_D5D0486,2021.1;2024.1
_D5D0489,2022;2024.1
_D5D0493,2024.1;2024.5
_D5D0500,2021.3;2024.4
_D5D0505,2024.1;2024.2
_D5D0516,2021.1;2024.5
_D5D0527,2021.1;2021.5
_D5D0528,2018.1;2024.5
_D5D0530,2021.5;2024.4
_D5D0532,2018.1;2022
_D5D0552,2022;2024.3
_D5D0553,2022;2024.5
_D5D0567,2021.1;2024.1
_D5D0569,2018.1;2021.5
_D5D0571,2021.5;2024.1
_D5D0573,2021.3;2024.5
_D5D0583,2021.1;2021.3;2024.2
_D5D0589,2021.3;2021.6
_D5D0597,2024.2;2024.5
_D5D0609,2024.1;2024.5
_D5D0620,2021.5;2023.1
_D5D0626,2021.1;2021.6
_D5D0631,2024.2;2024.5
_D5D0633,2021.3;2021.6
_D5D0634,2021.5;2024.1
_D5D0646,2018.1;2021.5;2024.5
_D5D0653,2021.1;2021.5
_D5D0660,2021.1;2021.5
_D5D0674,2021.3;2021.5;2024.3
_D5D0676,2021.1;2021.3
_D5D0699,2018.1;2021.4
_D5D0718,2018.1;2024.4
_D5D0719,2022;2023.1
_D5D0723,2021.1;2021.3
_D5D0726,2022;2024.5
_D5D0727,2021.5;2024.4
_D5D0731,2021.3;2021.4
_D5D0732,2021.1;2021.3;2022
_D5D0734,2021.3;2021.4
_D5D0735,2021.1;2021.4;2024.4
_D5D0737,2021.4;2024.4
_D5D0757,2018.1;2021.3
_D5D0765,2021.6;2024.2;2024.5
_D5D0768,2021.1;2024.5
_D5D0776,2018.1;2021.2
_D5D0782,2021.1;2024.4
_D5D0786,2018.1;2021.1;2021.3
_D5D0790,2021.2;2024.4
_D5D0800,2021.6;2024.3
_D5D0810,2021.1;2021.5
_D5D0811,2021.1;2021.3
_D5D0814,2018.3;2021.3
_D5D0818,2021.2;2024.5
_D5D0819,2021.4;2024.3
_D5D0820,2021.2;2021.5
_D5D0831,2018.3;2021.2
_D5D0836,2021.6;2024.2
_D5D0838,2021.2;2021.4
_D5D0839,2018.3;2021.4
_D5D0848,2018.1;2024.1
_D5D0851,2021.2;2024.4;2024.5
_D5D0854,2021.5;2024.2
_D5D0862,2021.6;2024.5
_D5D0869,2018.3;2023.1
_D5D0871,2018.3;2024.5
_D5D0892,2021.6;2024.2
_D5D0897,2021.2;2021.5
_D5D0902,2021.1;2021.6
_D5D0903,2021.4;2024.4
_D5D0912,2021.4;2024.1
_D5D0913,2018.1;2021.4;2021.5
_D5D0915,2021.1;2021.5
_D5D0916,2018.1;2024.2
_D5D0921,2018.1;2024.5
_D5D0931,2021.1;2021.5
_D5D0932,2021.5;2024.4
_D5D0937,2023.1;2024.2
_D5D0938,2024.3;2024.4
_D5D0951,2021.2;2021.4;2024.2;2024.5
_D5D0953,2024.3;2024.4
_D5D0962,2018.1;2021.2
_D5D0972,2018.3;2018.4
_D5D0980,2018.1;2021.5
_D5D0981,2023.1;2024.5
_D5D0982,2021.4;2024.4
_D5D0988,2023.1;2024.4
_D5D0994,2018.1;2021.5
_D5D0995,2021.1;2021.6
_D5D1007,2021.6;2024.1
_D5D1018,2021.6;2022
_D5D1019,2021.2;2021.3;2022
_D5D1022,2021.2;2021.5
_D5D1023,2018.1;2021.6
_D5D1025,2021.6;2022
_D5D1037,2018.3;2021.5;2024.4
_D5D1038,2021.5;2023.1
_D5D1044,2021.1;2022
_D5D1046,2018.1;2023.1
_D5D1056,2018.3;2021.5
_D5D1057,2018.1;2021.3;2021.4;2024.4
_D5D1069,2021.6;2024.4
_D5D1070,2018.1;2023.1
_D5D1072,2021.5;2023.1
_D5D1079,2018.1;2024.1
_D5D1090,2021.1;2021.5;2021.6
_D5D1092,2018.1;2021.2
_D5D1107,2018.1;2024.2
_D5D1112,2021.4;2021.6
_D5D1123,2018.3;2024.1
_D5D1124,2018.1;2021.5;2024.1;2024.5
_D5D1129,2018.1;2021.1;2024.5
_D5D1130,2021.1;2021.5
_D5D1135,2021.1;2021.3
_D5D1138,2018.1;2021.1;2024.5
_D5D1139,2018.1;2024.5
_D5D1142,2021.2;2021.5
_D5D1146,2018.1;2021.5
_D5D1153,2021.4;2023.1
_D5D1154,2018.1;2024.1;2024.4
_D5D1155,2021.5;2024.2;2024.5
_D5D1158,2018.1;2023.1
_D5D1173,2021.3;2021.5
_D5D1177,2018.1;2023.1
_D5D1181,2021.4;2022;2024.4
_D5D1183,2022;2023.1;2024.4
_D5D1185,2021.4;2021.6;2024.1
_D5D1186,2021.3;2021.4
_D5D1189,2018.1;2023.1
_D5D1194,2018.4;2024.4
_D5D1197,2023.1;2024.5
_D5D1198,2018.1;2018.4;2021.4
_D5D1203,2022;2023.1
_D5D1216,2021.2;2021.4
_D5D1219,2021.4;2021.5;2024.4
_D5D1220,2021.4;2024.5
_D5D1221,2021.1;2024.1
_D5D1227,2018.1;2021.4;2024.5
_D5D1228,2018.3;2021.4
_D5D1229,2018.4;2021.4;2023.1
_D5D1230,2021.1;2021.4
_D5D1232,2021.4;2022
_D5D1233,2023.1;2024.4
_D5D1234,2021.6;2022
_D5D1239,2021.5;2021.6
_D5D1246,2018.1;2021.4;2024.4
_D5D1247,2021.4;2024.2
_D5D1249,2021.4;2024.5
_D5D1255,2018.1;2024.4;2024.5
_D5D1257,2021.1;2024.4
_D5D1262,2018.1;2024.5
_D5D1264,2024.4;2024.5
_D5D1268,2021.4;2024.4
_D5D1275,2018.4;2021.1;2021.5
_D5D1281,2018.1;2021.1
_D5D1287,2024.1;2024.4
_D5D1290,2021.5;2022
_D5D1305,2018.1;2023.1
_D5D1311,2021.1;2024.3;2024.4
_D5D1312,2021.1;2021.5;2022
_D5D1314,2021.1;2024.1;2024.3
_D5D1317,2021.2;2024.1;2024.2
_D5D1324,2021.2;2021.4;2021.5;2024.4
_D5D1325,2018.1;2021.5;2021.6;2024.2
_D5D1343,2021.6;2023.1
_D5D1352,2021.4;2021.6;2024.1;2024.5
_D5D1355,2018.1;2021.3;2021.4
_D5D1361,2018.1;2021.3
_D5D1366,2021.4;2021.5;2024.2
_D5D1367,2021.5;2024.1;2024.4
_D5D1372,2021.2;2021.5
_D5D1373,2021.5;2023.1
_D5D1374,2021.1;2021.2
_D5D1378,2021.5;2024.1
_D5D1382,2021.3;2021.5
_D5D1384,2021.5;2022;2024.2
_D5D1389,2021.2;2023.1;2024.4
_D5D1391,2018.1;2023.1
_D5D1395,2018.4;2021.4;2023.1
_D5D1403,2018.1;2021.4
_D5D1406,2021.6;2022
_D5D1417,2021.6;2024.2
_D5D1418,2021.6;2023.1;2024.2
_D5D1420,2021.5;2021.6;2023.1;2024.2
_D5D1421,2024.1;2024.2
_D5D1422,2021.1;2021.2;2021.5;2023.1;2024.4
_D5D1427,2021.2;2021.3;2022;2024.1
_D5D1431,2018.3;2021.2;2021.4
_D5D1432,2021.3;2021.6
_D5D1436,2021.3;2021.4
_D5D1446,2021.6;2024.1
_D5D1450,2018.3;2024.5
_D5D1452,2018.1;2024.5
_D5D1455,2021.5;2024.1
_D5D1461,2018.1;2022
_D5D1462,2021.5;2022
_D5D1470,2018.1;2022
_D5D1477,2018.1;2024.5
_D5D1482,2018.1;2024.5
_D5D1483,2018.3;2021.4
_D5D1486,2021.6;2022;2023.1
_D5D1496,2018.1;2021.3
_D5D1504,2021.2;2024.1
_D5D1507,2018.1;2021.3;2022;2024.5
_D5D1508,2021.2;2021.6;2024.5
_D5D1509,2024.1;2024.4
_D5D1513,2021.2;2024.5
_D5D1514,2022;2024.5
_D5D1515,2018.1;2024.4
_D5D1517,2021.4;2021.5
_D5D1522,2024.1;2024.5
_D5D1523,2018.1;2024.1;2024.5
_D5D1529,2021.2;2021.5
_D5D1531,2018.3;2021.5;2024.5
_D5D1551,2018.4;2023.1
_D5D1552,2021.4;2024.4
_D5D1554,2018.1;2024.3
_D5D1559,2018.1;2021.6
_D5D1561,2021.5;2024.3
_D5D1565,2022;2024.3
_D5D1578,2018.3;2022;2024.4;2024.5
_D5D1579,2018.1;2023.1
_D5D1588,2021.6;2024.2
_D5D1595,2024.2;2024.5
_D5D1601,2018.1;2021.6
_D5D1605,2021.2;2024.1;2024.3
_D5D1606,2022;2024.4
_D5D1607,2018.3;2018.4;2021.6;2024.3
_D5D1609,2021.5;2023.1;2024.5
_D5D1614,2021.5;2022
_D5D1616,2018.1;2023.1;2024.4
_D5D1618,2021.6;2023.1
_D5D1625,2018.1;2021.6
_D5D1635,2021.6;2024.5
_D5D1640,2018.1;2021.1;2023.1
_D5D1641,2021.1;2021.6
_D5D1651,2021.1;2021.3;2021.6
_D5D1653,2021.5;2024.4
_D5D1654,2021.1;2021.6
_D5D1655,2021.2;2021.6
_D5D1656,2021.3;2021.5;2024.5
_D5D1658,2021.6;2022
_D5D1659,2021.5;2021.6;2022
_D5D1661,2018.1;2022;2024.1
_D5D1662,2021.4;2022
_D5D1675,2018.1;2022
_D5D1676,2018.1;2023.1;2024.4
_D5D1677,2021.6;2024.1
_D5D1678,2021.6;2024.4
_D5D1679,2021.6;2024.1
_D5D1681,2021.6;2023.1
_D5D1697,2021.6;2022
_D5D1698,2023.1;2024.2
_D5D1701,2018.1;2021.6
_D5D1710,2018.1;2018.4
_D5D1714,2021.6;2023.1
_D5D1717,2021.4;2022
_D5D1718,2018.1;2021.2
_D5D1721,2021.2;2021.6;2024.1;2024.4
_D5D1725,2021.2;2024.1
_D5D1730,2021.2;2021.6;2024.1
_D5D1737,2021.2;2022
_D5D1738,2018.1;2022
