jpg_resolves_now,reason,year,half_year,trip,stem,verdict,jpg_path,xmp_path
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S6192,ok,data/jpg/2019.4/_D8S6192.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S6192.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S6221,ok,data/jpg/2019.4/_D8S6221.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S6221.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S6227,ok,data/jpg/2019.4/_D8S6227.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S6227.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S6247,ok,data/jpg/2019.4/_D8S6247.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S6247.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S6249,ok,data/jpg/2019.4/_D8S6249.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S6249.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S6258,ok,data/jpg/2019.4/_D8S6258.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S6258.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S6271,ok,data/jpg/2019.4/_D8S6271.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S6271.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S6274,ok,data/jpg/2019.4/_D8S6274.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S6274.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S6277,ok,data/jpg/2019.4/_D8S6277.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S6277.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S6283,ok,data/jpg/2019.4/_D8S6283.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S6283.xmp
